
       instance   k    n     m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit  do_exact   ss  chroma_k_early  chroma_k  crit  edges  num_perturb  repl     time  time_confirm  time_color  calls_to_coloring  heu_mistakes  avg_perturb_str      ttb  itb  num_flips  num_bt  infeas  seed
 rand-50-0.15-4   6   50   341            0.5                1                1               1800         0   16               0         1     1     64          115     0     1800     0.0329186     1799.92               7524             0         0.912281  17.5193    1       7472       0       0     1
 rand-50-0.15-4   6   50   341            0.5                1                1               1800         0   16               0         1     1     64          109     0     1800     0.0331571     1799.92               7473             0          1.22222  17.5165    1       7350       0       0     2
 rand-50-0.15-4   6   50   341            0.5                1                1               1800         0   16               0         1     1     64          119     0     1800     0.0189357     1799.95               7598             0         0.974576  17.5073    1       7615       0       0     3
 rand-50-0.15-4   6   50   341            0.5                1                1               1800         0   16               0         1     1     64          110     0     1800     0.0187008     1799.95               7463             0          1.11927  17.5064    1       7388       0       0     4
 rand-50-0.15-4   6   50   341            0.5                1                1               1800         0   16               0         1     1     64          113     0     1800     0.0335135     1799.93               7510             0          1.00893   17.507    1       7425       0       0     5
 rand-50-0.15-4   6   50   341            0.5                1                1               1800         0   16               0         1     1     64          115     0     1800     0.0334295     1799.93               7533             0         0.912281  17.5056    1       7454       0       0     6
 rand-50-0.15-4   6   50   341            0.5                1                1               1800         0   16               0         1     1     64          114     0     1800     0.0187605     1799.95               7519             0         0.955752  17.5061    1       7442       0       0     7
 rand-50-0.15-4   6   50   341            0.5                1                1               1800         0   16               0         1     1     64          117     0     1800     0.0185914     1799.95               7567             0                1  17.5066    1       7562       0       0     8
 rand-50-0.15-4   6   50   341            0.5                1                1               1800         0   16               0         1     1     64          116     0     1800     0.0327145     1799.94               7562             0          1.03478  17.5063    1       7523       0       0     9
 rand-50-0.15-4   6   50   341            0.5                1                1               1800         0   16               0         1     1     64          113     0     1800     0.0332542     1799.93               7517             0          1.07143  17.5067    1       7446       0       0    10
 rand-50-0.15-5   6   50   335            0.5                1                1               1800         0   20               0         1     1     82          122     0     1800     0.0228148     1799.94               7702             0          1.09091   22.508    1       7634       0       0     1
 rand-50-0.15-5   6   50   335            0.5                1                1               1800         0   20               0         1     1     82          126     0     1800     0.0227376     1799.94               7815             0            0.984  22.5082    1       7826       0       0     2
 rand-50-0.15-5   6   50   335            0.5                1                1               1800         0   20               0         1     1     82          124     0     1800     0.0413034     1799.92               7738             0          0.98374  22.5084    1       7691       0       0     3
 rand-50-0.15-5   6   50   335            0.5                1                1               1800         0   20               0         1     1     82          122     0     1800     0.0418738     1799.92               7663             0          1.09091   22.508    1       7620       0       0     4
 rand-50-0.15-5   6   50   335            0.5                1                1               1800         0   20               0         1     1     82          124     0     1800     0.0229409     1799.94               7752             0          0.97561  22.5075    1       7737       0       0     5
 rand-50-0.15-5   6   50   335            0.5                1                1               1800         0   20               0         1     1     82          126     0     1800     0.0235431     1799.94               7791             0            1.024  22.5086    1       7761       0       0     6
 rand-50-0.15-5   6   50   335            0.5                1                1               1800         0   20               0         1     1     82          126     0     1800     0.0349901     1799.93               7795             0            0.944  22.5081    1       7755       0       0     7
 rand-50-0.15-5   6   50   335            0.5                1                1               1800         0   20               0         1     1     82          128     0     1800     0.0398621     1799.92               7793             0          1.04724  22.5075    1       7743       0       0     8
