
       instance   k  n_red   m_red     n       m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu   ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit  edges     time  time_pp  time_confirm_crit  time_color  iter      ttb  itb  max_iter_diff  ss_fin_avg  ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp  avg_pp_reduced  avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
         wap02a  41   1698   86519  2464  111742            0.5                1                1               7200  200        1.08       1  359        1698         375               0         0           1     1  13602  7200.01  3916.67               7200     6273.55   142  2070.38   34             12     1.13374     1.14412          358           336             0     141         3.31915         3.21277              95839            45079       0            40             0    10
         wap07a  41   1605   96780  1809  103368            0.5                1                1               7200  200        1.08       1  210        1605         229               0         0           1     1   8166  7200.01  5384.63               7200     6241.13   269   4666.2  163             65    0.660781    0.720974          206           562             0     259         18.4672         24.1853             130345            79462       0            40             0     1
         wap07a  41   1605   96780  1809  103368            0.5                1                1               7200  200        1.08       1  214        1605         216               0         0           1     1   8412     7200  5415.48               7200     6265.08   261  1192.96   40             23    0.673953    0.734203          212           545             0     256         18.2617         24.0156             128199            77593       0            40             0     2
         wap07a  41   1605   96780  1809  103368            0.5                1                1               7200  200        1.08       1  210        1605         222               0         0           1     1   8217  7200.01  5482.05               7200     6290.85   264  1394.69   46             15    0.658842    0.724558          210           535             0     249         20.0361         22.4739             125102            75918       0            40             0     3
         wap07a  41   1605   96780  1809  103368            0.5                1                1               7200  200        1.08       1  213        1605         219               0         0           1     1   8284     7200  5358.56               7200     6222.48   270  4939.79  186            128    0.677208    0.734533          211           562             0     269         17.3048         25.5725             133949            81204       0            40             0     4
         wap07a  41   1605   96780  1809  103368            0.5                1                1               7200  200        1.08       1  193        1605         179               0         0           1     1   7079     7200  1878.39               7200     3513.67  1716  970.934  239            127   0.0842526   0.0879436          179          1889             0     164         8.13415         30.1402             388267           361425       0            40             0     5
         wap07a  41   1605   96780  1809  103368            0.5                1                1               7200  200        1.08       1  211        1605         216               0         0           1     1   8318     7200  5442.54               7200     6236.35   257  3748.53  129             52    0.657986     0.72041          210           526             0     250           19.08          24.224             125320            76412       0            40             0     6
         wap07a  41   1605   96780  1809  103368            0.5                1                1               7200  200        1.08       1  212        1605         221               0         0           1     1   8307  7200.01  5410.15               7200     6209.62   267  1695.93   55             25    0.623296    0.683956          206           549             0     251         19.2709         23.0279             128317            79739       0            40             0     7
         wap07a  41   1605   96780  1809  103368            0.5                1                1               7200  200        1.08       1  210        1605         232               0         0           1     1   8211     7200  5371.84               7200     6198.07   262  3438.96  122             60    0.646087    0.705306          208           571             0     261         18.2759         23.7931             130999            80548       0            40             0     8
         wap07a  41   1605   96780  1809  103368            0.5                1                1               7200  200        1.08       1  216        1605         230               0         0           1     1   8589     7200  5419.85               7200     6274.65   252  1715.33   53             24     0.69258    0.755562          215           540             0     251         18.6534         25.8486             123803            74338       0            40             0     9
